No.,Source,File Type,Category,Features,URL,Visa Type,Notes,Language
1,uscis_html,html,Family-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration/immigrant-visa-for-spouse.html,"IR1, CR1",Spouse of a U.S. Citizen,en
2,uscis_html,html,Family-Based Immigration,"form-assistance,map-navigation",https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration/nonimmigrant-visa-for-a-spouse-k-3.html,K-3,Spouse of a U.S. Citizen awaiting approval of an I-130 immigrant petition,en
3,uscis_html,html,Family-Based Immigration,"form-assistance,map-navigation",https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration/nonimmigrant-visa-for-a-fiance-k-1.html,K-1,Fiancé(e) to marry U.S. Citizen & live in U.S.,en
4,uscis_html,html,Family-Based Immigration,"humanitarian,lawyer-connection",https://travel.state.gov/content/travel/en/Intercountry-Adoption.html,"IR3, IH3, IR4, IH4",Intercountry Adoption of Orphan Children by U.S. Citizens,en
5,uscis_html,html,Family-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration.html,"IR2, CR2, IR5, F1, F3, F4",Certain Family Members of U.S. Citizens,en
6,uscis_html,html,Family-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/family-immigration.html,"F2A, F2B",Certain Family Members of Lawful Permanent Residents,en
7,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/employment-based-immigrant-visas.html,E1,Priority workers [First] of Employment-Based Immigrants,en
8,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/employment-based-immigrant-visas.html,E2,Professionals Holding Advanced Degrees and Persons of Exceptional Ability [Second] of Employment-Based Immigrants,en
9,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/employment-based-immigrant-visas.html,"E3, EW3",Professionals and Other Workers [Third] of Employment-Based Immigrants,en
10,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/employment-based-immigrant-visas.html,"C5, T5, R5, I5",Employment Creation/Investors [Fifth] of Employment-Based Immigrants,en
11,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/employment-based-immigrant-visas.html,S,Certain Special Immigrants: [Fourth] of Employment-Based Immigrants,en
12,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/other-visa-categories/temporary-religious-worker.html,"SD, SR",Religious Workers,en
13,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/siv-iraqi-afghan-translators-interpreters.html,SI,Iraqi and Afghan Translators/Interpreters,en
14,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/special-immg-visas-iraqis-employed-us-gov.html,SQ,Iraqis Who Worked for/on Behalf of the U.S. Government,en
15,uscis_html,html,Employment-Based Immigration,form-assistance,https://travel.state.gov/content/travel/en/us-visas/immigrate/special-immg-visa-afghans-employed-us-gov.html,SQ,Afghans Who Worked for/on Behalf of the U.S. Government,en
16,uscis_html,html,Citizenship and Naturalization,"map-navigation,form-assistance",https://travel.state.gov/content/travel/en/us-visas/immigrate/diversity-visa-program-entry/diversity-visa-submit-entry1.html,DV,Diversity Immigrant Visa,en
17,uscis_html,html,Travel Documents,user-experience-mining,https://travel.state.gov/content/travel/en/us-visas/immigrate/returning-resident.html,SB,Returning Resident,en